日期,國家,城市,項目,次數,min,max,median,variance
2021-05-24,TW,Taitung City,pm25,48,9.0,61.0,21.0,1717.38
2021-07-19,TW,Taitung City,pm25,7,21.0,34.0,25.0,255.71
2021-08-09,TW,Taitung City,pm25,42,21.0,53.0,38.0,621.65
2021-06-07,TW,Taitung City,pm25,43,9.0,42.0,17.0,539.64
2021-09-19,TW,Taitung City,pm25,13,21.0,38.0,25.0,262.44
2021-03-25,TW,Taitung City,pm25,48,21.0,68.0,53.0,1562.34
2021-04-05,TW,Taitung City,pm25,48,21.0,68.0,53.0,1615.25
2021-04-16,TW,Taitung City,pm25,46,9.0,53.0,21.0,1094.25
2021-05-09,TW,Taitung City,pm25,48,13.0,61.0,30.0,1493.51
2021-06-18,TW,Taitung City,pm25,48,9.0,55.0,30.0,993.36
2021-09-28,TW,Taitung City,pm25,30,21.0,61.0,34.0,1859.26
2021-05-25,TW,Taitung City,pm25,33,9.0,38.0,25.0,658.77
2021-06-04,TW,Taitung City,pm25,45,9.0,50.0,25.0,911.55
2021-06-12,TW,Taitung City,pm25,16,9.0,46.0,13.0,867.83
2021-07-01,TW,Taitung City,pm25,44,9.0,50.0,25.0,992.32
2021-07-20,TW,Taitung City,pm25,9,21.0,34.0,25.0,211.94
2021-03-05,TW,Taitung City,pm25,46,9.0,53.0,25.0,1252.66
2021-03-30,TW,Taitung City,pm25,48,55.0,87.0,68.0,677.12
2021-05-23,TW,Taitung City,pm25,48,13.0,63.0,38.0,1300.41
2021-09-10,TW,Taitung City,pm25,13,21.0,65.0,25.0,1852.44
2021-08-15,TW,Taitung City,pm25,15,21.0,38.0,25.0,241.24
2021-08-26,TW,Taitung City,pm25,27,21.0,72.0,59.0,2451.79
2021-09-06,TW,Taitung City,pm25,8,21.0,34.0,25.0,222.86
2021-08-14,TW,Taitung City,pressure,42,1005.0,1011.4,1007.5,25.22
2021-09-08,TW,Taitung City,pressure,39,1009.0,1011.7,1010.0,5.31
2021-01-31,TW,Taitung City,pressure,39,1021.0,1025.0,1023.0,14.12
2021-02-23,TW,Taitung City,pressure,39,1013.2,1017.7,1016.0,11.34
2021-07-21,TW,Taitung City,pressure,39,998.7,1003.2,1000.7,21.38
2021-09-19,TW,Taitung City,pressure,38,1011.4,1013.8,1012.6,3.44
2021-05-06,TW,Taitung City,pressure,43,1013.3,1018.0,1015.5,13.70
2021-07-13,TW,Taitung City,pressure,41,1009.0,1012.0,1010.4,4.28
2021-07-07,TW,Taitung City,pressure,39,1011.0,1013.7,1012.5,4.77
2021-09-12,TW,Taitung City,pressure,45,990.2,1000.0,992.5,61.82
2021-01-22,TW,Taitung City,pressure,40,1008.2,1013.7,1011.0,20.67
2021-06-27,TW,Taitung City,pressure,39,1004.1,1007.6,1005.6,5.80
2021-03-06,TW,Taitung City,pressure,39,1013.2,1018.0,1016.0,21.18
2021-04-10,TW,Taitung City,pressure,39,1016.5,1020.0,1018.1,10.94
2021-05-01,TW,Taitung City,pressure,39,1010.7,1013.2,1012.0,6.06
2021-05-11,TW,Taitung City,pressure,39,1005.8,1011.0,1008.8,24.25
2021-07-04,TW,Taitung City,pressure,39,1008.5,1011.5,1009.8,5.67
2021-09-29,TW,Taitung City,pressure,39,1005.9,1009.0,1007.5,7.13
2021-01-27,TW,Taitung City,pressure,41,1014.9,1019.0,1017.2,14.51
2021-02-07,TW,Taitung City,pressure,39,1015.9,1020.0,1018.3,15.41
2021-04-11,TW,Taitung City,pressure,40,1017.4,1021.5,1019.0,13.98
2021-06-29,TW,Taitung City,pressure,39,1002.4,1005.4,1004.0,5.17
2021-07-22,TW,Taitung City,pressure,39,993.0,997.8,994.4,9.76
2021-07-29,TW,Taitung City,pressure,39,998.7,1003.2,1001.0,12.64
2021-09-17,TW,Taitung City,pressure,39,1009.3,1012.6,1010.5,7.85
2021-01-05,TW,Taitung City,pressure,39,1015.4,1020.0,1017.9,22.74
